DS-COM-001 追加补采结果（asOf 2026-08-28）
============================================================
总盘数：205 盘

已网签：精确 54 / 约数 41 / 售完 3 / 未知 107

可售：精确 45 / 约数 49 / 售完 12 / 未知 99

格式：区|楼盘|已网签|可售|来源
------------------------------------------------------------
东城区|IN三里|未知（商办，平台未单列网签套数）|未知（公寓余房在售，可售未单列）|https://newhouse.fang.com/loupan/1010130341.htm
东城区|北京城建·天坛府|未知（全盘1556户分多期，平台未单列逐期网签套数）|未知（在售余房，可售未单列）|https://newhouse.fang.com/loupan/1010127483.htm
东城区|华龙in巷|未知（商办公寓，平台未单列网签套数）|未知（公寓在售，可售未单列）|https://m.jiwu.com/bj/detail/1533060.html
东城区|富贵园商铺|未知（商铺，平台未单列网签套数）|未知（商铺现房在售，可售间数未单列）|https://fangjia.fang.com/bj/1363890.html
东城区|永定樾|未知（全盘79户/3栋现房，平台未单列网签套数）|未知（现房在售，可售未单列）|https://newhouse.fang.com/loupan/1010195747.htm
丰台区|中建壹品·花香壹号|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010195693.htm
丰台区|中海·永定玖里|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010195355.htm
丰台区|北京中国府|未知（平台未单列网签套数）|未知（现房尾盘，可售未单列）|https://newhouse.fang.com/loupan/1010126991.htm
丰台区|北京城建宸知筑|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010188433.htm
丰台区|北京隅·西颂|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010196317.htm
丰台区|天悦壹号·壹品墅|未知（别墅，平台未单列网签套数）|未知（别墅尾盘在售，可售未单列）|https://newhouse.fang.com/loupan/1010123039.htm
丰台区|懋源·煜泽台|未知（平台未单列网签套数）|未知（现房尾盘，可售未单列）|https://newhouse.fang.com/loupan/1010185797.htm
丰台区|懋源·璟廷|未知（平台未单列网签套数）|未知（在售，可售未单列）|https://newhouse.fang.com/loupan/1010188735.htm
丰台区|懋源璟瑜|未知（平台未单列网签套数）|未知（现房尾盘，可售未单列）|https://newhouse.fang.com/loupan/1010188755.htm
